"Di che genere sei?","Ritieni vi sia disparità di trattamento tra uomini e donne nel campo della sicurezza informatica?","Ritieni vi sia discriminazione nel mondo lavorativo dell'informatica? (Si intende in generale, non nel caso di eccezioni)"
"Femmina","Le donne vengono pagate meno degli uomini","Si, in base al genere"
"Femmina","La situazione è paritaria, tutti vengono trattati allo stesso modo","No, in nessun ambito"
"Femmina","Le donne vengono pagate meno degli uomini","Si, in base all'orientamento sessuale"
"Femmina","Le donne ricevono meno opportunità di avanzare nella carriera",
"Intersex/Non binario","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base all'etnia o colore della pelle"
"Intersex/Non binario",,"Si, in base all'età anagrafica (nonnismo)"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","No, in nessun ambito"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","No, in nessun ambito"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","No, in nessun ambito"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","No, in nessun ambito"
"Maschio","C'è vera e propria discriminazione o mobbing","Si, in base al genere"
"Maschio",,"Si, in base all'orientamento sessuale"
"Maschio","Le donne ricevono meno tutele degli uomini nella maternità","Si, in base all'etnia o colore della pelle"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base alla provenienza geografica"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","No, in nessun ambito"
"Maschio","Le donne ricevono meno tutele degli uomini nella maternità","Si, in base al genere"
"Maschio","Le donne vengono pagate meno degli uomini","No, in nessun ambito"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità","Si, in base al genere"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base al genere"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base alla provenienza geografica"
"Maschio","Le donne ricevono meno tutele degli uomini nella maternità","No, in nessun ambito"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità","Si, in base al genere"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base al genere"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base alla provenienza geografica"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base alla provenienza geografica"
"Maschio","Le donne vengono pagate meno degli uomini","In base alle conoscenze (non tecniche ma personali)"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base al genere"
"Maschio","Le donne vengono pagate meno degli uomini","No, in nessun ambito"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","percorsi formativi e community hacker differenti "
"Maschio","C'è vera e propria discriminazione o mobbing","Si, in base al genere"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base all'orientamento sessuale"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base all'etnia o colore della pelle"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base alla provenienza geografica"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base all'etnia o colore della pelle"
"Maschio","Le donne ricevono meno tutele degli uomini nella maternità","No, in nessun ambito"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base al genere"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","No, in nessun ambito"
"Maschio",,"No, in nessun ambito"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base all'etnia o colore della pelle"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base alla provenienza geografica"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base al genere"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base all'età anagrafica (nonnismo)"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","No, in nessun ambito"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base al genere"
"Maschio","Le donne ricevono meno tutele degli uomini nella maternità","No, in nessun ambito"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità","Si, in base all'età anagrafica (nonnismo)"
"Maschio","Le donne ricevono meno tutele degli uomini nella maternità","Sì, in base al grado di istruzione. Magistrale vale meno di triennale, dottorato anche peggio"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base all'età anagrafica (nonnismo)"
"Maschio","Le donne vengono pagate meno degli uomini","Amicizie"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base al genere"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base all'orientamento sessuale"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base all'etnia o colore della pelle"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità","Si, in base alla provenienza geografica"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità","Si, in base alla religione"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base all'età anagrafica (nonnismo)"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità",
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera",
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","No, in nessun ambito"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","No, in nessun ambito"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base al genere"
"Maschio","C'è vera e propria discriminazione o mobbing","Si, in base all'orientamento sessuale"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base all'etnia o colore della pelle"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base alla provenienza geografica"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base all'età anagrafica (nonnismo)"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base al genere"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base all'orientamento sessuale"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base all'etnia o colore della pelle"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base alla provenienza geografica"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base all'età anagrafica (nonnismo)"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","No, in nessun ambito"
"Maschio","C'è vera e propria discriminazione o mobbing","Si, in base all'età anagrafica (nonnismo)"
"Maschio","Le donne vengono pagate meno degli uomini","No, in nessun ambito"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base al genere"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base all'etnia o colore della pelle"
"Maschio",,"Si, in base al genere"
"Maschio","Le donne vengono pagate meno degli uomini","No, in nessun ambito"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità","Si, in base all'orientamento sessuale"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base all'età anagrafica (nonnismo)"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","No, in nessun ambito"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base al genere"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità",
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base al genere"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","No, in nessun ambito"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base al genere"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base al genere"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base all'orientamento sessuale"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base all'etnia o colore della pelle"
"Maschio","Le donne ricevono meno tutele degli uomini nella maternità","Si, in base all'età anagrafica (nonnismo)"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità","No, in nessun ambito"
"Maschio","C'è vera e propria discriminazione o mobbing","La disparita' sta nella frequenza: nella triennale in Informatica 7% erano donne. Nel master in Cyber Security 10% donne"
"Maschio","Le donne vengono pagate meno degli uomini",
"Maschio","Le donne ricevono meno tutele degli uomini nella maternità","Si, in base al genere"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base all'età anagrafica (nonnismo)"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base al genere"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base all'orientamento sessuale"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base all'etnia o colore della pelle"
"Maschio","C'è vera e propria discriminazione o mobbing","Si, in base alla provenienza geografica"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base all'età anagrafica (nonnismo)"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità","Si, in base all'età anagrafica (nonnismo)"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base al genere"
"Maschio",,"Si, in base all'etnia o colore della pelle"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base alla provenienza geografica"
"Maschio","Le donne ricevono meno tutele degli uomini nella maternità","Si, in base al genere"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base all'orientamento sessuale"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base all'etnia o colore della pelle"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base alla religione"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base all'età anagrafica (nonnismo)"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","No, in nessun ambito"
"Maschio","Le donne vengono pagate meno degli uomini","No, in nessun ambito"
"Maschio","Le donne ricevono meno tutele degli uomini nella maternità","No, in nessun ambito"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base al genere"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base alla provenienza geografica"
"Maschio","C'è vera e propria discriminazione o mobbing","Si, in base all'età anagrafica (nonnismo)"
"Maschio","Le donne ricevono meno tutele degli uomini nella maternità","Si, in base al genere;Si, in base all'età anagrafica (nonnismo)"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera",
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","in base allo sponsor"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità","Si, in base all'orientamento sessuale"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base all'etnia o colore della pelle"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità","Si, in base alla provenienza geografica"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base all'etnia o colore della pelle"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità","Si, in base alla provenienza geografica"
"Maschio","Le donne vengono pagate meno degli uomini","No, in nessun ambito"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità",
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base al genere"
"Maschio","C'è vera e propria discriminazione o mobbing","Si, in base al genere"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base al genere"
"Maschio","C'è vera e propria discriminazione o mobbing","Si, in base all'età anagrafica (nonnismo)"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base al genere"
"Maschio","Le donne ricevono meno tutele degli uomini nella maternità","Si, in base all'età anagrafica (nonnismo)"
"Maschio","Le donne vengono pagate meno degli uomini",
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","No, in nessun ambito"
"Maschio",,"No, in nessun ambito"
"Maschio","Le donne vengono pagate meno degli uomini","No, in nessun ambito"
"Maschio","Le donne ricevono meno tutele degli uomini nella maternità","Si, in base all'orientamento sessuale"
"Maschio",,"No, in nessun ambito"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base al genere"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità","Si, in base all'orientamento sessuale"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base all'etnia o colore della pelle"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità","Si, in base alla religione"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base all'età anagrafica (nonnismo)"
"Maschio","Gli uomini ricevono meno tutele delle donne nella paternità","No, in nessun ambito"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base al genere"
"Maschio","Le donne vengono pagate meno degli uomini","Si, in base al genere"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","No, in nessun ambito"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera",
"Maschio",,"Si, in base al genere"
"Maschio",,"Si, in base all'età anagrafica (nonnismo)"
"Maschio","C'è vera e propria discriminazione o mobbing","Si, in base all'età anagrafica (nonnismo)"
"Maschio","Le donne vengono pagate meno degli uomini","No, in nessun ambito"
"Maschio","Le donne ricevono meno opportunità di avanzare nella carriera","Si, in base all'età anagrafica (nonnismo)"
"Maschio",,"Si, in base all'età anagrafica (nonnismo)"
"Maschio","La situazione è paritaria, tutti vengono trattati allo stesso modo","Si, in base al genere"
