"In che classe di età rientri?","Che lavoro svolgi?","Dove lavori?","Che livello di istruzione possiedi?","Nella tua esperienza, quanto guadagna un PenTester in Italia nei primi 5 anni di lavoro?","Nella tua esperienza, quanto guadagna un PenTester senior in Italia?","Quanto credi lavori in media un PenTester in una settimana?","Come ritieni che siano i ritmi di lavoro?","Pensi che il lavoro nel campo della sicurezza informatica incida sulle possibilità di formare un nucleo familiare?","Nella tua esperienza, ritieni che un PenTester in Italia venga pagato meno rispetto a altri stati come Regno Unito, Germania, Francia, oppure che nel complesso la situazione sia simile?","Se hai risposto si alla domanda precedente, in quali stati ritieni che un PenTester venga pagato meglio rispetto all'Italia?","Come definiresti le tutele del lavoratore per chi lavora nella sicurezza informatica? (Giorni di ferie, malattia, maternità/paternità, assegno di disoccupazione...)","Se lavori per una azienda specializzata in sicurezza informatica, con quale contratto sei assunto?","Riterresti utile la costituzione di un vero e proprio sindacato di categoria per i PenTester, i programmatori, o più in generale gli informatici?(Attualmente esiste il sindacato networkers ma non è riconosciuto ufficialmente e non ha molto potere contrattuale)","In generale, quanta fiducia hai in questo mestiere per il tuo sostentamento?"
"18-25","PenTester","Lombardia","Dottorato","10-15 mila euro l'anno","15-25 mila euro l'anno","25-40 ore","Il lavoro occupa buona parte della propria vita, e questo è stressante","È perfettamente possibile crescere dei figli facendo questo mestiere","No","Svizzera","Insufficienti","Part time","Si","Non potrò fare questo mestiere per sempre"
"18-25","PenTester","Lazio","Diploma di scuola superiore","più di 25 mila euro l'anno","35-50 mila euro l'anno","25-40 ore","Il tempo da dedicare al lavoro è accettabile",,"Si","Regno Unito;Germania;Francia","Sufficienti",,,
"18-25","PenTester","Sicilia","Licenza media","10-15 mila euro l'anno","35-50 mila euro l'anno","15-25 ore","C'è molto tempo libero","Dipende dalle situazioni, non si può generalizzare","Si","Regno Unito;Germania;Francia;Svizzera;Stati Uniti;Norvegia;Danimarca","Insufficienti","Collaborazione/ libero professionista free lance","Si","Non potrò fare questo mestiere per sempre"
"18-25","PenTester","Lombardia","Laurea triennale","15-25 mila euro l'anno","Non so","40-50 ore","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","No","Regno Unito;Germania;Francia;Svizzera;Stati Uniti;Norvegia;Danimarca;Russia","Sufficienti","Tempo indeterminato","Si","Non potrò fare questo mestiere per sempre"
"18-25","PenTester","Lazio","Laurea triennale","15-25 mila euro l'anno","25-35 mila euro l'anno","40-50 ore","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Si","Regno Unito;Germania;Francia;Svizzera;Stati Uniti;Repubblica Ceca;Norvegia;Danimarca","Buone","Tempo indeterminato","No","Lavorerò sempre nella sicurezza informatica"
"18-25",,,,,,,,"È perfettamente possibile crescere dei figli facendo questo mestiere",,,,,,
"18-25","PenTester","Lazio","Diploma di scuola superiore","Non so","Non so","40-50 ore","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Si","Regno Unito;Germania","Sufficienti","Non lavoro per una azienda di sicurezza informatica","Si","Lavorerò sempre nella sicurezza informatica"
"18-25","PenTester","Lazio","Diploma di scuola superiore","10-15 mila euro l'anno","25-35 mila euro l'anno","50-60 ore","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Si","Germania","Sufficienti","Tempo indeterminato","Si","Non potrò fare questo mestiere per sempre"
"26-35","PenTester","Piemonte","Laurea triennale","15-25 mila euro l'anno","35-50 mila euro l'anno","40-50 ore","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Si","Regno Unito;Germania;Svizzera;Stati Uniti;Danimarca","Buone","Tempo indeterminato","No","Lavorerò sempre nella sicurezza informatica"
"26-35","PenTester","Lombardia","Diploma di scuola superiore","15-25 mila euro l'anno","25-35 mila euro l'anno","25-40 ore","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Si","Regno Unito;Germania;Svizzera;Stati Uniti","Buone","Tempo indeterminato","No","Lavorerò sempre nella sicurezza informatica"
