"In che classe di età rientri?","Che lavoro svolgi?","Come ritieni che siano i ritmi di lavoro?","Pensi che il lavoro nel campo della sicurezza informatica incida sulle possibilità di formare un nucleo familiare?","Come definiresti le tutele del lavoratore per chi lavora nella sicurezza informatica? (Giorni di ferie, malattia, maternità/paternità, assegno di disoccupazione...)","Se lavori per una azienda specializzata in sicurezza informatica, con quale contratto sei assunto?","Riterresti utile la costituzione di un vero e proprio sindacato di categoria per i PenTester, i programmatori, o più in generale gli informatici?(Attualmente esiste il sindacato networkers ma non è riconosciuto ufficialmente e non ha molto potere contrattuale)","In generale, quanta fiducia hai in questo mestiere per il tuo sostentamento?"
"18-25","Programmatore","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Collaborazione/ libero professionista free lance","No","Lavorerò sempre nella sicurezza informatica"
"18-25",,,"È perfettamente possibile crescere dei figli facendo questo mestiere",,,,
"18-25","PenTester","Il lavoro occupa buona parte della propria vita, e questo è stressante","È perfettamente possibile crescere dei figli facendo questo mestiere","Insufficienti","Part time","Si","Non potrò fare questo mestiere per sempre"
"18-25","PenTester","Il tempo da dedicare al lavoro è accettabile",,"Sufficienti",,,
"18-25","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","È perfettamente possibile crescere dei figli facendo questo mestiere","Buone","Non lavoro per una azienda di sicurezza informatica","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"18-25","PenTester","C'è molto tempo libero","Dipende dalle situazioni, non si può generalizzare","Insufficienti","Collaborazione/ libero professionista free lance","Si","Non potrò fare questo mestiere per sempre"
"18-25","PenTester","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Tempo indeterminato","Si","Non potrò fare questo mestiere per sempre"
"18-25","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare",,"Non lavoro per una azienda di sicurezza informatica","No","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"18-25","Programmatore","Il tempo da dedicare al lavoro è accettabile","È perfettamente possibile crescere dei figli facendo questo mestiere","Sufficienti","Non lavoro per una azienda di sicurezza informatica","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"18-25","Programmatore","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Non lavoro per una azienda di sicurezza informatica","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"18-25","PenTester","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Buone","Tempo indeterminato","No","Lavorerò sempre nella sicurezza informatica"
"18-25",,,"È perfettamente possibile crescere dei figli facendo questo mestiere",,,,
"18-25","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Non ci sono garanzie economiche per i neo genitori","Sufficienti","Tempo indeterminato","Si","Lavorerò sempre nella sicurezza informatica"
"18-25",,,"Dipende dalle situazioni, non si può generalizzare",,,,
"18-25","PenTester","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Non lavoro per una azienda di sicurezza informatica","Si","Lavorerò sempre nella sicurezza informatica"
"18-25","PenTester","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Tempo indeterminato","Si","Non potrò fare questo mestiere per sempre"
"18-25","Programmatore","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Buone","Non lavoro per una azienda di sicurezza informatica","No","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"18-25","Programmatore","Il lavoro occupa buona parte della propria vita, e questo è stressante","Non c'è tempo per avere dei figli","Sufficienti","Non lavoro per una azienda di sicurezza informatica","Si","Non potrò fare questo mestiere per sempre"
"18-25","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare",,"Tempo indeterminato","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"18-25","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Tempo determinato","Si","Non potrò fare questo mestiere per sempre"
"26-35","PenTester","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Buone","Tempo indeterminato","No","Lavorerò sempre nella sicurezza informatica"
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Insufficienti","Tempo indeterminato","No","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Non lavoro per una azienda di sicurezza informatica","No","Non potrò fare questo mestiere per sempre"
"26-35","Programmatore","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Tempo indeterminato","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Buone","Tempo indeterminato","No","Lavorerò sempre nella sicurezza informatica"
"26-35","PenTester","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Buone","Tempo indeterminato","No","Lavorerò sempre nella sicurezza informatica"
"26-35","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Tempo indeterminato","No","Non potrò fare questo mestiere per sempre"
"26-35","PenTester","Il lavoro occupa buona parte della propria vita, e questo è stressante","Non ci sono garanzie economiche per i neo genitori","Insufficienti","Collaborazione/ libero professionista free lance","Si","Lavorerò sempre nella sicurezza informatica"
"26-35",,,"Dipende dalle situazioni, non si può generalizzare",,,,
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Buone","Tempo indeterminato","Si","Lavorerò sempre nella sicurezza informatica"
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Non lavoro per una azienda di sicurezza informatica","Si","Non potrò fare questo mestiere per sempre"
"26-35","PenTester","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Buone","Tempo indeterminato","Si","Lavorerò sempre nella sicurezza informatica"
"26-35",,,"È perfettamente possibile crescere dei figli facendo questo mestiere",,,,
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Buone",,"Si","Non potrò fare questo mestiere per sempre"
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Tempo determinato","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"26-35","PenTester","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Buone","Tempo determinato","Si","Lavorerò sempre nella sicurezza informatica"
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Tempo indeterminato","Si","Non potrò fare questo mestiere per sempre"
"26-35","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Non ci sono garanzie economiche per i neo genitori","Sufficienti","Tempo indeterminato","Si","Non potrò fare questo mestiere per sempre"
"26-35","PenTester","Il tempo da dedicare al lavoro è accettabile","È perfettamente possibile crescere dei figli facendo questo mestiere","Sufficienti","Collaborazione/ libero professionista free lance","Si","Lavorerò sempre nella sicurezza informatica"
"26-35","Programmatore","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Collaborazione/ libero professionista free lance","No","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"26-35","PenTester","Il tempo da dedicare al lavoro è accettabile","Non c'è tempo per avere dei figli","Sufficienti","Tempo indeterminato","Si","Lavorerò sempre nella sicurezza informatica"
"26-35","PenTester","Il tempo da dedicare al lavoro è accettabile","Non ci sono garanzie economiche per i neo genitori","Sufficienti","Tempo indeterminato","Si","Lavorerò sempre nella sicurezza informatica"
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","È perfettamente possibile crescere dei figli facendo questo mestiere","Sufficienti","Tempo determinato","No","Non potrò fare questo mestiere per sempre"
"26-35","PenTester","Il lavoro occupa buona parte della propria vita, e questo è stressante",,,"Tempo indeterminato","Si","Lavorerò sempre nella sicurezza informatica"
"26-35","Programmatore","Il tempo da dedicare al lavoro è accettabile","È perfettamente possibile crescere dei figli facendo questo mestiere","Sufficienti","Non lavoro per una azienda di sicurezza informatica","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"26-35","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Buone","Non lavoro per una azienda di sicurezza informatica","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"26-35","PenTester","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Insufficienti","Part time","No","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"26-35","PenTester","Il tempo da dedicare al lavoro è accettabile","È perfettamente possibile crescere dei figli facendo questo mestiere","Buone","Tempo indeterminato","Si","Lavorerò sempre nella sicurezza informatica"
"26-35","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Buone","Tempo indeterminato","Si","Lavorerò sempre nella sicurezza informatica"
"26-35","PenTester","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Insufficienti","Tempo indeterminato","Si","Non potrò fare questo mestiere per sempre"
"26-35","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Insufficienti","Tempo indeterminato","Si","Lavorerò sempre nella sicurezza informatica"
"26-35","PenTester","Il tempo da dedicare al lavoro è accettabile","Non ci sono garanzie economiche per i neo genitori","Buone","Tempo indeterminato","Si","Non potrò fare questo mestiere per sempre"
"26-35","PenTester","Il lavoro occupa buona parte della propria vita, e questo è stressante","È perfettamente possibile crescere dei figli facendo questo mestiere","Buone","Tempo indeterminato","Si","Lavorerò sempre nella sicurezza informatica"
"26-35","Programmatore","Il lavoro occupa buona parte della propria vita, e questo è stressante","Non c'è tempo per avere dei figli","Sufficienti","Collaborazione/ libero professionista free lance","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"26-35","Programmatore","Il tempo da dedicare al lavoro è accettabile","Non ci sono garanzie economiche per i neo genitori","Sufficienti","Non lavoro per una azienda di sicurezza informatica","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"26-35","PenTester","Il tempo da dedicare al lavoro è accettabile","È perfettamente possibile crescere dei figli facendo questo mestiere","Insufficienti","Tempo indeterminato","No","Lavorerò sempre nella sicurezza informatica"
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare",,"Tempo indeterminato","No","Lavorerò sempre nella sicurezza informatica"
"26-35","Programmatore","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Non lavoro per una azienda di sicurezza informatica","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"26-35","PenTester","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Buone","Collaborazione/ libero professionista free lance","No","Lavorerò sempre nella sicurezza informatica"
"26-35","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Non ci sono garanzie economiche per i neo genitori","Insufficienti","Non lavoro per una azienda di sicurezza informatica","Si","Non potrò fare questo mestiere per sempre"
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","È perfettamente possibile crescere dei figli facendo questo mestiere","Sufficienti","Tempo indeterminato","Si","Lavorerò sempre nella sicurezza informatica"
"26-35","Programmatore","Il tempo da dedicare al lavoro è accettabile","È perfettamente possibile crescere dei figli facendo questo mestiere","Sufficienti","Tempo indeterminato","No","Lavorerò sempre nella sicurezza informatica"
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Insufficienti","Tempo indeterminato","No","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Tempo indeterminato","Si","Non potrò fare questo mestiere per sempre"
"26-35","Programmatore","Il tempo da dedicare al lavoro è accettabile","Non ci sono garanzie economiche per i neo genitori","Insufficienti","Part time","No","Non potrò fare questo mestiere per sempre"
"26-35",,,"Dipende dalle situazioni, non si può generalizzare",,,,
"26-35","PenTester","Il tempo da dedicare al lavoro è accettabile","Non ci sono garanzie economiche per i neo genitori","Sufficienti","Tempo determinato","Si","Non potrò fare questo mestiere per sempre"
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Non lavoro per una azienda di sicurezza informatica","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"26-35","Programmatore","C'è molto tempo libero","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Tempo indeterminato","Si","Lavorerò sempre nella sicurezza informatica"
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Non lavoro per una azienda di sicurezza informatica","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Insufficienti","Tempo indeterminato","Si","Lavorerò sempre nella sicurezza informatica"
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Non ci sono garanzie economiche per i neo genitori","Insufficienti","Collaborazione/ libero professionista free lance","Si","Non potrò fare questo mestiere per sempre"
"26-35",,,"Dipende dalle situazioni, non si può generalizzare",,,,
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Non ci sono garanzie economiche per i neo genitori","Insufficienti","Collaborazione/ libero professionista free lance","Si","Non potrò fare questo mestiere per sempre"
"26-35",,,"Dipende dalle situazioni, non si può generalizzare",,,,
"26-35","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Non ci sono garanzie economiche per i neo genitori","Insufficienti","Collaborazione/ libero professionista free lance","Si","Non potrò fare questo mestiere per sempre"
"26-35",,,"Dipende dalle situazioni, non si può generalizzare",,,,
"36-50","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Insufficienti","Collaborazione/ libero professionista free lance","Si","Non potrò fare questo mestiere per sempre"
"36-50","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Tempo determinato","No","Non potrò fare questo mestiere per sempre"
"36-50","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Buone","Non lavoro per una azienda di sicurezza informatica","No","Non potrò fare questo mestiere per sempre"
"36-50","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Non lavoro per una azienda di sicurezza informatica","No","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"36-50","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Non lavoro per una azienda di sicurezza informatica","No","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"36-50","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Non ci sono garanzie economiche per i neo genitori","Insufficienti","Non lavoro per una azienda di sicurezza informatica","Si","Non potrò fare questo mestiere per sempre"
"36-50","Programmatore","Il tempo da dedicare al lavoro è accettabile","È perfettamente possibile crescere dei figli facendo questo mestiere","Sufficienti","Non lavoro per una azienda di sicurezza informatica","No","Lavorerò sempre nella sicurezza informatica"
"36-50","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Non c'è tempo per avere dei figli;Non ci sono garanzie economiche per i neo genitori","Insufficienti","Collaborazione/ libero professionista free lance","No","Non potrò fare questo mestiere per sempre"
"36-50","PenTester","Il tempo da dedicare al lavoro è accettabile","È perfettamente possibile crescere dei figli facendo questo mestiere","Sufficienti","Collaborazione/ libero professionista free lance","Si","Lavorerò sempre nella sicurezza informatica"
"36-50","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Non lavoro per una azienda di sicurezza informatica","No","Lavorerò sempre nella sicurezza informatica"
"36-50","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Insufficienti","Tempo indeterminato","Si","Lavorerò sempre nella sicurezza informatica"
"36-50","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Non lavoro per una azienda di sicurezza informatica","No","Non potrò fare questo mestiere per sempre"
"36-50","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","È perfettamente possibile crescere dei figli facendo questo mestiere","Buone","Tempo indeterminato","No","Lavorerò sempre nella sicurezza informatica"
"36-50","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Insufficienti","Tempo determinato","Si","Lavorerò sempre nella sicurezza informatica"
"36-50","PenTester","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Insufficienti","Tempo indeterminato","Si","Non potrò fare questo mestiere per sempre"
"36-50","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Insufficienti",,"Si","Lavorerò sempre nella sicurezza informatica"
"36-50","Programmatore","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Buone","Non lavoro per una azienda di sicurezza informatica","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"36-50",,,"È perfettamente possibile crescere dei figli facendo questo mestiere",,,,
"36-50","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Insufficienti","Tempo indeterminato","No","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"36-50",,,"È perfettamente possibile crescere dei figli facendo questo mestiere",,,,
"36-50","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Non ci sono garanzie economiche per i neo genitori","Insufficienti","Tempo determinato","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"36-50","PenTester","Il lavoro occupa buona parte della propria vita, e questo è stressante","Non ci sono garanzie economiche per i neo genitori","Sufficienti","Tempo indeterminato","No","Lavorerò sempre nella sicurezza informatica"
"36-50","PenTester","Il lavoro occupa buona parte della propria vita, e questo è stressante","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Tempo indeterminato","Si","Non potrò fare questo mestiere per sempre"
"36-50","Programmatore","C'è molto tempo libero","Dipende dalle situazioni, non si può generalizzare","Sufficienti","Non lavoro per una azienda di sicurezza informatica","No","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"36-50","Altro mestiere legato all'informatica",,"Non ci sono garanzie economiche per i neo genitori","Insufficienti",,,"Lavorerò sempre nella sicurezza informatica"
"36-50","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","È perfettamente possibile crescere dei figli facendo questo mestiere","Insufficienti","Collaborazione/ libero professionista free lance","Si","Non potrò fare questo mestiere per sempre"
"36-50","Programmatore","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Insufficienti","Tempo indeterminato","Si","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"36-50","Altro mestiere legato all'informatica","Il tempo da dedicare al lavoro è accettabile","Dipende dalle situazioni, non si può generalizzare","Buone","Non lavoro per una azienda di sicurezza informatica","No","Non lavoro ancora nella sicurezza informatica, ma credo sia una buona opzione per il futuro"
"36-50","Altro mestiere legato all'informatica","Il lavoro occupa buona parte della propria vita, e questo è stressante","Non c'è tempo per avere dei figli","Insufficienti","Tempo indeterminato","Si","Non potrò fare questo mestiere per sempre"
"36-50",,,"Non ci sono garanzie economiche per i neo genitori",,,,
